Run,File,Energy_pkg_Joules,Energy_psys_Joules,Time_elapsed_seconds
1,SVM.py,16.77,23.53,0.947633883
2,SVM.py,16.95,23.86,0.982483448
3,SVM.py,16.58,23.53,0.975689442
4,SVM.py,16.09,22.56,0.917451011
5,SVM.py,16.68,23.40,0.950101995
6,SVM.py,16.82,23.78,0.940935388
7,SVM.py,17.11,24.18,0.958895501
8,SVM.py,16.45,23.26,0.958531719
9,SVM.py,15.56,22.16,0.929480634
10,SVM.py,16.76,23.79,0.965714407
11,SVM.py,16.45,23.38,0.956071489
12,SVM.py,15.69,22.30,0.909495274
13,SVM.py,15.77,22.26,0.915939769
14,SVM.py,16.18,22.79,0.938378153
15,SVM.py,16.57,23.67,0.963341170
16,SVM.py,15.52,22.11,0.902343652
17,SVM.py,16.81,24.15,0.974551975
18,SVM.py,16.42,23.54,0.946014631
19,SVM.py,16.02,22.72,0.917594803
20,SVM.py,16.50,23.25,0.949746803
21,SVM.py,16.53,23.41,0.941090050
22,SVM.py,16.04,22.68,0.929576701
23,SVM.py,16.44,23.18,0.934245363
24,SVM.py,16.23,23.07,0.932230017
25,SVM.py,16.88,23.70,0.958785467
26,SVM.py,16.94,23.86,0.964691934
27,SVM.py,18.34,25.91,1.023650930
28,SVM.py,16.71,23.95,0.942191986
29,SVM.py,16.26,23.14,0.951773798
30,SVM.py,16.47,23.55,0.955740285
31,SVM.py,16.15,22.84,0.934009278
32,SVM.py,16.13,22.95,0.938633540
33,SVM.py,16.57,23.76,0.959823391
34,SVM.py,17.66,25.24,1.015714148
35,SVM.py,15.72,22.29,0.910304019
36,SVM.py,17.29,24.86,1.016684387
37,SVM.py,17.11,24.15,0.978459664
38,SVM.py,15.89,22.43,0.897618579
39,SVM.py,16.31,23.12,0.931930518
40,SVM.py,16.03,22.66,0.904264182
41,SVM.py,16.85,23.67,0.947555603
42,SVM.py,17.89,25.30,0.979537990
43,SVM.py,16.68,23.45,0.951346040
44,SVM.py,15.94,22.51,0.904783905
45,SVM.py,16.26,23.01,0.923727197
46,SVM.py,17.32,24.53,0.978806190
47,SVM.py,16.65,23.48,0.941635627
48,SVM.py,16.12,22.97,0.941736833
49,SVM.py,15.90,22.38,0.906438073
50,SVM.py,16.82,23.93,0.978845347
1,RF.py,20.98,29.97,1.182954088
2,RF.py,20.20,28.56,1.144433884
3,RF.py,19.77,27.95,1.117488686
4,RF.py,19.32,27.20,1.099377721
5,RF.py,19.93,28.25,1.150260872
6,RF.py,20.19,28.62,1.155135243
7,RF.py,18.91,26.71,1.078908289
8,RF.py,20.47,28.92,1.172071354
9,RF.py,19.75,28.05,1.123625943
10,RF.py,18.85,26.59,1.073806263
11,RF.py,18.84,26.58,1.066073751
12,RF.py,20.01,28.32,1.139747841
13,RF.py,20.37,28.80,1.157236965
14,RF.py,19.38,27.63,1.144792699
15,RF.py,19.87,28.11,1.149060033
16,RF.py,17.47,25.06,1.073383624
17,RF.py,17.80,25.46,1.073974837
18,RF.py,17.36,24.83,1.041250008
19,RF.py,18.02,25.77,1.090153484
20,RF.py,17.59,25.05,1.057307689
21,RF.py,18.01,25.85,1.101614018
22,RF.py,16.51,23.68,1.005352053
23,RF.py,19.01,27.04,1.108739274
24,RF.py,19.34,27.57,1.140000603
25,RF.py,19.43,27.61,1.158989389
26,RF.py,18.92,26.92,1.108977339
27,RF.py,19.27,27.46,1.128137161
28,RF.py,18.99,27.16,1.106533670
29,RF.py,19.37,27.86,1.150917993
30,RF.py,17.79,25.57,1.061714703
31,RF.py,18.79,26.73,1.093027003
32,RF.py,18.78,26.75,1.090075972
33,RF.py,19.10,27.14,1.114843744
34,RF.py,19.01,26.96,1.123798066
35,RF.py,19.84,28.25,1.164483926
36,RF.py,17.82,25.50,1.062914918
37,RF.py,18.25,26.02,1.077451238
38,RF.py,18.07,25.75,1.075734255
39,RF.py,18.76,26.68,1.107347631
40,RF.py,18.55,26.34,1.088742824
41,RF.py,18.04,25.71,1.066264434
42,RF.py,18.72,26.81,1.098906347
43,RF.py,18.64,26.67,1.126328046
44,RF.py,18.79,26.63,1.106111541
45,RF.py,18.57,26.31,1.086645650
46,RF.py,18.02,25.61,1.053772568
47,RF.py,18.70,26.59,1.092091895
48,RF.py,19.38,27.73,1.131508158
49,RF.py,18.66,26.46,1.097482992
50,RF.py,18.62,26.42,1.098680874
1,SVM.R,3.11,4.42,0.180394581
2,SVM.R,3.32,4.73,0.194340495
3,SVM.R,3.29,4.67,0.186693272
4,SVM.R,3.37,4.87,0.192111440
5,SVM.R,3.45,4.95,0.199935241
6,SVM.R,3.68,5.32,0.208432870
7,SVM.R,3.20,4.60,0.189566315
8,SVM.R,3.20,4.58,0.188395738
9,SVM.R,3.24,4.65,0.187015791
10,SVM.R,3.70,5.37,0.218501713
11,SVM.R,3.63,5.16,0.210992022
12,SVM.R,3.36,4.76,0.191811914
13,SVM.R,3.45,4.93,0.188797316
14,SVM.R,3.53,5.03,0.198483727
15,SVM.R,3.26,4.66,0.190275532
16,SVM.R,3.36,4.79,0.192516789
17,SVM.R,3.32,4.77,0.196110731
18,SVM.R,3.17,4.50,0.185195197
19,SVM.R,3.21,4.57,0.188040598
20,SVM.R,3.12,4.46,0.185181274
21,SVM.R,3.17,4.51,0.185390535
22,SVM.R,3.36,4.77,0.194381950
23,SVM.R,3.32,4.75,0.191885344
24,SVM.R,3.46,4.97,0.205236535
25,SVM.R,3.64,5.16,0.204045140
26,SVM.R,3.24,4.61,0.189792390
27,SVM.R,3.35,4.86,0.194354458
28,SVM.R,3.02,4.36,0.186201401
29,SVM.R,3.13,4.47,0.186927735
30,SVM.R,3.19,4.55,0.193203445
31,SVM.R,3.26,4.71,0.194397875
32,SVM.R,4.01,5.74,0.219619037
33,SVM.R,3.57,5.13,0.198113070
34,SVM.R,3.34,4.81,0.195040308
35,SVM.R,3.72,5.27,0.213257015
36,SVM.R,3.45,4.95,0.201317883
37,SVM.R,3.67,5.26,0.211901329
38,SVM.R,3.45,4.99,0.191190439
39,SVM.R,3.22,4.63,0.189111628
40,SVM.R,3.26,4.69,0.191522175
41,SVM.R,3.66,5.24,0.208395092
42,SVM.R,3.45,4.93,0.193681759
43,SVM.R,3.50,5.03,0.199793868
44,SVM.R,3.38,4.84,0.195080167
45,SVM.R,3.09,4.46,0.179687741
46,SVM.R,3.29,4.75,0.195402448
47,SVM.R,3.13,4.50,0.184164561
48,SVM.R,3.38,4.84,0.193741580
49,SVM.R,3.40,4.88,0.196309589
50,SVM.R,3.18,4.58,0.185775658
1,RF.R,3.33,4.78,0.194303924
2,RF.R,3.41,4.91,0.191032618
3,RF.R,3.14,4.50,0.187768694
4,RF.R,3.24,4.71,0.191750498
5,RF.R,3.23,4.63,0.183264773
6,RF.R,3.48,4.99,0.199108364
7,RF.R,3.58,5.12,0.207941922
8,RF.R,3.06,4.39,0.180263914
9,RF.R,3.39,4.86,0.203071963
10,RF.R,3.17,4.53,0.186902113
11,RF.R,3.17,4.60,0.182783438
12,RF.R,3.19,4.62,0.195816588
13,RF.R,3.16,4.54,0.184482766
14,RF.R,3.50,5.03,0.208359225
15,RF.R,3.71,5.22,0.207770884
16,RF.R,3.34,4.77,0.196706319
17,RF.R,3.54,5.08,0.214661161
18,RF.R,3.51,4.94,0.196466627
19,RF.R,3.52,5.00,0.198708348
20,RF.R,3.58,5.09,0.207207173
21,RF.R,3.29,4.69,0.188713010
22,RF.R,4.15,5.83,0.221773179
23,RF.R,3.59,5.10,0.202687190
24,RF.R,3.22,4.56,0.183102255
25,RF.R,3.42,4.87,0.202103838
26,RF.R,3.32,4.70,0.191112191
27,RF.R,3.58,5.19,0.212941845
28,RF.R,3.19,4.59,0.189398721
29,RF.R,3.49,5.02,0.206461452
30,RF.R,2.99,4.33,0.178497313
31,RF.R,3.26,4.66,0.193370546
32,RF.R,3.40,4.85,0.197269137
33,RF.R,3.15,4.52,0.174436119
34,RF.R,3.36,4.86,0.205779216
35,RF.R,3.59,5.09,0.206332452
36,RF.R,3.56,5.09,0.194768206
37,RF.R,3.46,4.92,0.199078021
38,RF.R,3.25,4.64,0.189605999
39,RF.R,3.37,4.85,0.200196742
40,RF.R,3.23,4.65,0.192476674
41,RF.R,3.05,4.38,0.186116545
42,RF.R,3.25,4.66,0.196783757
43,RF.R,3.20,4.59,0.195958885
44,RF.R,3.41,4.86,0.197716034
45,RF.R,3.68,5.20,0.209016367
46,RF.R,3.21,4.56,0.185029656
47,RF.R,3.11,4.43,0.177554664
48,RF.R,3.32,4.80,0.195571782
49,RF.R,3.51,5.03,0.198776791
50,RF.R,3.67,5.20,0.202131100
